value,type,n,R
8.117907209661665,CMC,1.0,2.0
10.134328647769188,CMC,1.0,2.0
27.91265326583147,CMC,1.0,2.0
11.803406555665923,CMC,1.0,2.0
19.24450021678899,CMC,1.0,2.0
2.540151374276312,CMC,1.0,2.0
0.7828396503859204,CMC,1.0,2.0
11.679352967478486,CMC,1.0,2.0
0.0,CMC,1.0,2.0
23.305697261413954,CMC,1.0,2.0
1.8865841325649226,CMC,1.0,2.0
25.29811287940585,CMC,1.0,2.0
0.0,CMC,1.0,2.0
11.734640655291702,CMC,1.0,2.0
5.297585621842608,CMC,1.0,2.0
3.6924548382225604,CMC,1.0,2.0
23.842577376003593,CMC,1.0,2.0
8.534961433273244,CMC,1.0,2.0
0.5275877268827678,CMC,1.0,2.0
10.173760031471927,CMC,1.0,2.0
17.65026401938475,CMC,1.0,2.0
19.342508009277406,CMC,1.0,2.0
62.68734339634078,CMC,1.0,2.0
0.0,CMC,1.0,2.0
0.0,CMC,1.0,2.0
24.719080775939474,CMC,1.0,2.0
0.0,CMC,1.0,2.0
12.380871178215456,CMC,1.0,2.0
0.0,CMC,1.0,2.0
32.326686961938584,CMC,1.0,2.0
16.347691045665346,CMC,1.0,2.0
26.437523280948547,CMC,1.0,2.0
3.1337931069393186,CMC,1.0,2.0
10.759657566895736,CMC,1.0,2.0
36.15920387673985,CMC,1.0,2.0
9.26272212301607,CMC,1.0,2.0
0.4393853853820621,CMC,1.0,2.0
39.71584819406806,CMC,1.0,2.0
0.0,CMC,1.0,2.0
35.40008011068605,CMC,1.0,2.0
20.583154546671516,CMC,1.0,2.0
0.0,CMC,1.0,2.0
31.501626302476776,CMC,1.0,2.0
17.70315177849935,CMC,1.0,2.0
18.190359725501246,CMC,1.0,2.0
31.918086101301448,CMC,1.0,2.0
34.493088112580715,CMC,1.0,2.0
10.42506529706033,CMC,1.0,2.0
4.871172533866763,CMC,1.0,2.0
2.454112564587503,CMC,1.0,2.0
0.0,CMC,1.0,2.0
7.682934913161494,CMC,1.0,2.0
0.0,CMC,1.0,2.0
15.826126139716425,CMC,1.0,2.0
11.224592384307874,CMC,1.0,2.0
29.562776942487666,CMC,1.0,2.0
28.370672304082497,CMC,1.0,2.0
0.5526245838144294,CMC,1.0,2.0
5.41682731469861,CMC,1.0,2.0
30.73899267610752,CMC,1.0,2.0
7.715840014696059,CMC,1.0,2.0
19.305952830307863,CMC,1.0,2.0
12.591278529949326,CMC,1.0,2.0
2.0245983775695753,CMC,1.0,2.0
22.492882926373348,CMC,1.0,2.0
15.079047433598884,CMC,1.0,2.0
10.978460049484555,CMC,1.0,2.0
23.56808122509289,CMC,1.0,2.0
20.604763170591387,CMC,1.0,2.0
