value,type,n,R
12.060886353811311,CMC,1.0,500.0
14.348650581634967,CMC,1.0,500.0
11.77508462210422,CMC,1.0,500.0
13.681932424456507,CMC,1.0,500.0
11.503246201161152,CMC,1.0,500.0
12.532439345499032,CMC,1.0,500.0
10.673851201744247,CMC,1.0,500.0
13.108142707461383,CMC,1.0,500.0
12.092394661248521,CMC,1.0,500.0
11.387287553965805,CMC,1.0,500.0
13.121989203705677,CMC,1.0,500.0
13.213348717741722,CMC,1.0,500.0
12.401209786558411,CMC,1.0,500.0
10.555564703107668,CMC,1.0,500.0
13.56075394539401,CMC,1.0,500.0
13.254539532295079,CMC,1.0,500.0
13.9855683791806,CMC,1.0,500.0
13.851785862494532,CMC,1.0,500.0
12.131270059476892,CMC,1.0,500.0
12.265828948486616,CMC,1.0,500.0
12.85916949413552,CMC,1.0,500.0
12.084546993570022,CMC,1.0,500.0
13.460107859305918,CMC,1.0,500.0
12.52199430454493,CMC,1.0,500.0
11.441443888291634,CMC,1.0,500.0
11.684274570724499,CMC,1.0,500.0
11.383063457273444,CMC,1.0,500.0
13.449683520077107,CMC,1.0,500.0
12.498407366626088,CMC,1.0,500.0
11.281633777899382,CMC,1.0,500.0
12.22598038338996,CMC,1.0,500.0
13.24526634719632,CMC,1.0,500.0
12.826200636604842,CMC,1.0,500.0
11.35145840351727,CMC,1.0,500.0
12.856854989266218,CMC,1.0,500.0
11.768041379421417,CMC,1.0,500.0
12.071520672894879,CMC,1.0,500.0
12.85786979774859,CMC,1.0,500.0
12.369581730315973,CMC,1.0,500.0
11.221409806080468,CMC,1.0,500.0
12.897165359401644,CMC,1.0,500.0
11.576961490440121,CMC,1.0,500.0
13.980341401043631,CMC,1.0,500.0
10.847714579710093,CMC,1.0,500.0
12.685418735433794,CMC,1.0,500.0
12.62027670523447,CMC,1.0,500.0
11.536477608118709,CMC,1.0,500.0
11.472268876751679,CMC,1.0,500.0
12.963078459593254,CMC,1.0,500.0
11.820464215532574,CMC,1.0,500.0
12.914243209200954,CMC,1.0,500.0
12.313534033692493,CMC,1.0,500.0
11.974518629480583,CMC,1.0,500.0
12.647175047742806,CMC,1.0,500.0
11.179987966975604,CMC,1.0,500.0
12.687967137103778,CMC,1.0,500.0
11.722663857723347,CMC,1.0,500.0
13.089926861984422,CMC,1.0,500.0
12.797654506101178,CMC,1.0,500.0
11.971603043946569,CMC,1.0,500.0
12.617241104918907,CMC,1.0,500.0
11.365033558619816,CMC,1.0,500.0
13.186171418481786,CMC,1.0,500.0
11.663874543891952,CMC,1.0,500.0
12.522283062803384,CMC,1.0,500.0
12.770705747633732,CMC,1.0,500.0
11.062907885132477,CMC,1.0,500.0
11.184454968424996,CMC,1.0,500.0
11.8287926154161,CMC,1.0,500.0
11.783442771846572,CMC,1.0,500.0
12.203665102256497,CMC,1.0,500.0
11.99921179206884,CMC,1.0,500.0
12.296334021808144,CMC,1.0,500.0
13.409946684213999,CMC,1.0,500.0
12.250682716116172,CMC,1.0,500.0
12.430676696072004,CMC,1.0,500.0
12.34677780459023,CMC,1.0,500.0
12.768304488165725,CMC,1.0,500.0
13.310242662281599,CMC,1.0,500.0
12.225121490737052,CMC,1.0,500.0
13.638228475956135,CMC,1.0,500.0
12.165253275889325,CMC,1.0,500.0
10.545347712721732,CMC,1.0,500.0
12.552973440256181,CMC,1.0,500.0
13.151375907823079,CMC,1.0,500.0
12.092224049758135,CMC,1.0,500.0
12.220305250274848,CMC,1.0,500.0
12.002655475432478,CMC,1.0,500.0
12.19199832308339,CMC,1.0,500.0
12.426257067656987,CMC,1.0,500.0
11.420515671435506,CMC,1.0,500.0
12.440986875231829,CMC,1.0,500.0
14.360341389336899,CMC,1.0,500.0
12.879845881250796,CMC,1.0,500.0
12.144660074176803,CMC,1.0,500.0
12.145061192763892,CMC,1.0,500.0
13.630997252166361,CMC,1.0,500.0
11.44365053332215,CMC,1.0,500.0
12.174827603267511,CMC,1.0,500.0
12.547851598532935,CMC,1.0,500.0
12.893507553990672,CMC,1.0,500.0
11.958799925353366,CMC,1.0,500.0
12.976153746562558,CMC,1.0,500.0
10.866289775147052,CMC,1.0,500.0
11.208928748533213,CMC,1.0,500.0
12.339583167892961,CMC,1.0,500.0
14.707807281243104,CMC,1.0,500.0
11.740620387124167,CMC,1.0,500.0
13.080876208341826,CMC,1.0,500.0
11.572135168187739,CMC,1.0,500.0
12.982455730288931,CMC,1.0,500.0
11.57630338248283,CMC,1.0,500.0
12.155972262058258,CMC,1.0,500.0
10.361724768358895,CMC,1.0,500.0
12.965350538565673,CMC,1.0,500.0
12.23874065657102,CMC,1.0,500.0
11.500098704110387,CMC,1.0,500.0
11.367570838172647,CMC,1.0,500.0
12.849926853933738,CMC,1.0,500.0
10.745348893730329,CMC,1.0,500.0
10.407878306837105,CMC,1.0,500.0
12.232043602817841,CMC,1.0,500.0
13.374911428238303,CMC,1.0,500.0
13.31499083617984,CMC,1.0,500.0
11.73393050709987,CMC,1.0,500.0
11.864699821711765,CMC,1.0,500.0
14.61233418553488,CMC,1.0,500.0
12.2966123363634,CMC,1.0,500.0
12.756351863426525,CMC,1.0,500.0
12.01302739796399,CMC,1.0,500.0
13.307942084332423,CMC,1.0,500.0
12.484430234963314,CMC,1.0,500.0
13.131505867082426,CMC,1.0,500.0
12.746977802628546,CMC,1.0,500.0
10.720483571142122,CMC,1.0,500.0
12.042824384826716,CMC,1.0,500.0
12.806925751685787,CMC,1.0,500.0
11.443430347704794,CMC,1.0,500.0
13.612382376905567,CMC,1.0,500.0
12.49857861577808,CMC,1.0,500.0
12.205285480948671,CMC,1.0,500.0
12.639913362751438,CMC,1.0,500.0
13.08687335765361,CMC,1.0,500.0
11.64912454033046,CMC,1.0,500.0
12.76584941811685,CMC,1.0,500.0
12.865458166209624,CMC,1.0,500.0
12.288528297547911,CMC,1.0,500.0
11.573643015203118,CMC,1.0,500.0
12.136939471156861,CMC,1.0,500.0
11.505685428465673,CMC,1.0,500.0
11.768329842459192,CMC,1.0,500.0
11.972845065986455,CMC,1.0,500.0
11.378304726925016,CMC,1.0,500.0
10.697089799513407,CMC,1.0,500.0
11.004580248859904,CMC,1.0,500.0
11.800715518764395,CMC,1.0,500.0
12.585987400482892,CMC,1.0,500.0
11.974976002463208,CMC,1.0,500.0
11.437120573792932,CMC,1.0,500.0
12.481424315984802,CMC,1.0,500.0
11.543688253782737,CMC,1.0,500.0
11.298867676487756,CMC,1.0,500.0
12.400589517934357,CMC,1.0,500.0
12.398162845062235,CMC,1.0,500.0
12.9043690002143,CMC,1.0,500.0
13.153265461880354,CMC,1.0,500.0
12.385877067674711,CMC,1.0,500.0
12.553166708643522,CMC,1.0,500.0
11.40733150306427,CMC,1.0,500.0
12.158490520549709,CMC,1.0,500.0
14.404620725659036,CMC,1.0,500.0
12.703436940548345,CMC,1.0,500.0
12.116685946906664,CMC,1.0,500.0
12.545374905888712,CMC,1.0,500.0
14.148346205431896,CMC,1.0,500.0
13.118912515888795,CMC,1.0,500.0
11.9654166900329,CMC,1.0,500.0
12.600057251868105,CMC,1.0,500.0
11.891464221310093,CMC,1.0,500.0
12.163226004072614,CMC,1.0,500.0
11.721987503045943,CMC,1.0,500.0
13.213484056665653,CMC,1.0,500.0
12.309718469267318,CMC,1.0,500.0
12.34381715879025,CMC,1.0,500.0
11.823480204536542,CMC,1.0,500.0
12.064149937930358,CMC,1.0,500.0
14.219654592253391,CMC,1.0,500.0
12.95051366398691,CMC,1.0,500.0
13.257126789401314,CMC,1.0,500.0
12.087804121271166,CMC,1.0,500.0
12.497853909535275,CMC,1.0,500.0
13.750717164946783,CMC,1.0,500.0
12.374905564784813,CMC,1.0,500.0
12.285220364652684,CMC,1.0,500.0
12.872678284584405,CMC,1.0,500.0
12.405987523844054,CMC,1.0,500.0
11.02227524183537,CMC,1.0,500.0
12.25988407480446,CMC,1.0,500.0
12.676114988414312,CMC,1.0,500.0
13.27489866358131,CMC,1.0,500.0
12.869709960576671,CMC,1.0,500.0
12.615387330606088,CMC,1.0,500.0
11.153707507860526,CMC,1.0,500.0
12.223521301140885,CMC,1.0,500.0
11.313426989037183,CMC,1.0,500.0
12.108171443526034,CMC,1.0,500.0
12.137135289440792,CMC,1.0,500.0
12.426583249474671,CMC,1.0,500.0
15.184116421815677,CMC,1.0,500.0
13.023092441728046,CMC,1.0,500.0
12.284340097273471,CMC,1.0,500.0
12.085444604223918,CMC,1.0,500.0
11.533494886424306,CMC,1.0,500.0
12.38262519232768,CMC,1.0,500.0
12.065042352885548,CMC,1.0,500.0
13.54577270688621,CMC,1.0,500.0
12.266515632749115,CMC,1.0,500.0
12.331623093865558,CMC,1.0,500.0
11.469787460272721,CMC,1.0,500.0
13.041592900864147,CMC,1.0,500.0
12.225316525884718,CMC,1.0,500.0
13.354568523571341,CMC,1.0,500.0
11.974206896580483,CMC,1.0,500.0
12.251599819300278,CMC,1.0,500.0
11.23296630881613,CMC,1.0,500.0
12.911979254307214,CMC,1.0,500.0
13.239461357693601,CMC,1.0,500.0
12.175062985249603,CMC,1.0,500.0
12.519609666758878,CMC,1.0,500.0
13.131992863433688,CMC,1.0,500.0
10.670794520763511,CMC,1.0,500.0
13.2346111472337,CMC,1.0,500.0
11.085914763821258,CMC,1.0,500.0
12.593777304937332,CMC,1.0,500.0
12.246010903224196,CMC,1.0,500.0
12.58785904888109,CMC,1.0,500.0
11.111958616943262,CMC,1.0,500.0
12.11281007633435,CMC,1.0,500.0
12.497175266229439,CMC,1.0,500.0
13.373448098071567,CMC,1.0,500.0
12.705572966729239,CMC,1.0,500.0
11.684486362122232,CMC,1.0,500.0
10.73922674272785,CMC,1.0,500.0
14.859313563035641,CMC,1.0,500.0
11.530487696802247,CMC,1.0,500.0
12.068442716453385,CMC,1.0,500.0
11.828023801226646,CMC,1.0,500.0
11.911348738268627,CMC,1.0,500.0
12.08604699761054,CMC,1.0,500.0
12.567482419930904,CMC,1.0,500.0
11.929678985875599,CMC,1.0,500.0
11.599985161767364,CMC,1.0,500.0
12.048271811398592,CMC,1.0,500.0
12.873088598370535,CMC,1.0,500.0
11.813481340873379,CMC,1.0,500.0
11.898871454512886,CMC,1.0,500.0
11.642903072950178,CMC,1.0,500.0
11.134593250131097,CMC,1.0,500.0
12.449805525386914,CMC,1.0,500.0
10.85829746846366,CMC,1.0,500.0
13.64183555244158,CMC,1.0,500.0
13.33015117635709,CMC,1.0,500.0
14.40965474411183,CMC,1.0,500.0
12.704283947831167,CMC,1.0,500.0
11.403501233698917,CMC,1.0,500.0
12.251897736775108,CMC,1.0,500.0
11.777085962372825,CMC,1.0,500.0
13.583000423375761,CMC,1.0,500.0
13.41690100090546,CMC,1.0,500.0
12.238888276812398,CMC,1.0,500.0
11.808737647602069,CMC,1.0,500.0
12.352929134194714,CMC,1.0,500.0
11.876059027493936,CMC,1.0,500.0
12.95807276588062,CMC,1.0,500.0
11.965739679253296,CMC,1.0,500.0
13.296930683135852,CMC,1.0,500.0
12.58558867506752,CMC,1.0,500.0
12.787352198838132,CMC,1.0,500.0
12.86134787265124,CMC,1.0,500.0
11.284821931480437,CMC,1.0,500.0
12.17471528365058,CMC,1.0,500.0
13.693674510900856,CMC,1.0,500.0
11.991959549394306,CMC,1.0,500.0
13.312050075855906,CMC,1.0,500.0
13.057692115137018,CMC,1.0,500.0
12.759866408816041,CMC,1.0,500.0
12.113279280718903,CMC,1.0,500.0
11.402667328278017,CMC,1.0,500.0
11.842266832298574,CMC,1.0,500.0
13.701384613742716,CMC,1.0,500.0
11.17967581608196,CMC,1.0,500.0
11.645997219115834,CMC,1.0,500.0
12.06639619141478,CMC,1.0,500.0
10.40199863523415,CMC,1.0,500.0
12.413277054169734,CMC,1.0,500.0
12.001532618853755,CMC,1.0,500.0
13.031453821222101,CMC,1.0,500.0
12.84997107433353,CMC,1.0,500.0
12.418105841138512,CMC,1.0,500.0
12.139184957536772,CMC,1.0,500.0
13.584781673583716,CMC,1.0,500.0
13.077063078975566,CMC,1.0,500.0
12.62256880378358,CMC,1.0,500.0
12.240270743722276,CMC,1.0,500.0
12.388641692999615,CMC,1.0,500.0
11.772620362096843,CMC,1.0,500.0
12.247325044928917,CMC,1.0,500.0
11.751525233393261,CMC,1.0,500.0
12.502069438007181,CMC,1.0,500.0
11.241488276901686,CMC,1.0,500.0
13.004104459030188,CMC,1.0,500.0
14.320467939847473,CMC,1.0,500.0
13.079132635685536,CMC,1.0,500.0
14.13342848683365,CMC,1.0,500.0
11.97793990606695,CMC,1.0,500.0
10.858570545451348,CMC,1.0,500.0
12.399144047160705,CMC,1.0,500.0
13.258879678656605,CMC,1.0,500.0
12.150779148488326,CMC,1.0,500.0
11.157046549664365,CMC,1.0,500.0
12.852493259157301,CMC,1.0,500.0
11.879231594946122,CMC,1.0,500.0
13.128209736965003,CMC,1.0,500.0
